title,location,price,bedroom,bathroom,area,year_contruction,maintenance,housing_type,operation_type,date_pub,url,price_clean,area_clean,bedroom_clean,bathroom_clean,cost_score,city,district,safety_score,services_score,final_score,latitude,longitude,osm_data
Apartamento en alquiler en Sector 3,"Sector 3, Urb Santa Cruz, Provincia de Lima, Provincia de Lima ","USD1,400",3 dormitorios,2 baños,120 m²,,S/.480,Apartamento,Alquiler,16 mar. 2022 - Publicado por Isotta Lima Space,https://www.properati.com.pe/detalle/14032-32-f8ce-92dc956c6c7f-998fb3c8-849a-429b,5180.0,120.0,3,2,9.99351851851852,Provincia de Lima,Urb Santa Cruz,3,5.779999999999999,6.4,-11.8965454,-77.043161,"GEO GPS PERÚ, 3, Avenida Mariano Condorcanqui, Los Geranios, Comas, Lima, Lima Metropolitana, Lima, 15316, Perú"
Apartamento en alquiler en Ur. German Astete,"Ur. German Astete, La Perla, Callao, Callao ","S/.1,600",3 dormitorios,2 baños,82 m²,,,Apartamento,Alquiler,24 feb. 2023 - Publicado por Century 21 Prestigia,https://www.properati.com.pe/detalle/14032-32-82fc-88ca67d6c349-f3e6d089-b3c0-3e5d,1600.0,82.0,3,2,9.99707024097268,Callao,La Perla,3,5.779999999999999,6.4,-10.9995361,-77.0085535,"La Perla, Paccho, Huaura, Lima, Perú"
Apartamento en alquiler en Urb los Patricios,"Urb los Patricios, Provincia de Lima, Municipalidad Metropolitana de Lima ",USD750,3 dormitorios,2 baños,110 m²,,S/.350,Apartamento,Alquiler,7 set. 2021 - Publicado por Tasso Inmobiliaria,https://www.properati.com.pe/detalle/14032-32-e8f2-98b3113213ea-e23f945f-8ef1-4653,2775.0,110.0,3,2,9.99621212121212,Provincia de Lima,Urb los Patricios,3,5.779999999999999,6.4,-12.0002116,-76.8330796,"Lima, Lima Metropolitana, Lima, Perú"
Apartamento en alquiler en Provincia de Lima,"Provincia de Lima, Provincia de Lima ",USD850,2 dormitorios,3 baños,150 m²,,S/.540,Apartamento,Alquiler,11 nov. 2021 - Publicado por AP ASOCIADOS  INMOBILIARIA,https://www.properati.com.pe/detalle/14032-32-7152-dd0ef55c0c1d-b237e4f7-92d3-46d3,3145.0,150.0,2,3,9.996851851851853,Provincia de Lima,,3,5.779999999999999,6.4,-12.0459808,-77.0305912,"Lima, Lima Metropolitana, Lima, 15001, Perú"
Apartamento en alquiler en Provincia de Lima,"Provincia de Lima, Provincia de Lima ",USD900,3 dormitorios,2 baños,146 m²,1990.0,S/.460,Apartamento,Alquiler,16 ago. 2022 - Publicado por Infinito Novantanove E.I.R.L,https://www.properati.com.pe/detalle/14032-32-6c54-a8dc18b17bdf-ffbbc693-9f17-48f9,3330.0,146.0,3,2,9.996575342465754,Provincia de Lima,,3,5.779999999999999,6.4,-12.0459808,-77.0305912,"Lima, Lima Metropolitana, Lima, 15001, Perú"
Apartamento en alquiler en Bellavista,"Bellavista, Callao, Callao ","S/.1,650",3 dormitorios,2 baños,67 m²,,S/.140,Apartamento,Alquiler,"Hace 2 semanas, 1 día - Publicado por RE/MAX Today",https://www.properati.com.pe/detalle/14032-32-3e30-3a2831e7de31-6a2242a7-a6e0-4b38,1650.0,67.0,3,2,9.996302272421676,Callao,Bellavista,3,5.779999999999999,6.4,-12.0597362,-77.1111612,"Bellavista, Callao, Perú"
Apartamento en alquiler en Chiclayo,"Chiclayo, Lambayeque ","S/.2,100",3 dormitorios,2 baños,130 m²,,,Apartamento,Alquiler,24 mar. 2022 - Publicado por Lula Botey Inmobiliaria,https://www.properati.com.pe/detalle/14032-32-1d2f-12f4d86cb455-c4036d0c-a808-3adf,2100.0,130.0,3,2,9.997574497574496,Chiclayo,,3,5.779999999999999,6.4,-6.7716146,-79.8387175,"Chiclayo, Lambayeque, Perú"
Apartamento en alquiler en Chiclayo,"Chiclayo, Chiclayo, Lambayeque ","S/.2,500",2 dormitorios,3 baños,120 m²,,,Apartamento,Alquiler,17 mar. 2023 - Publicado por Lula Botey Inmobiliaria,https://www.properati.com.pe/detalle/14032-32-1e0f-baae9e8868c2-252f6660-b564-3dc9,2500.0,120.0,2,3,9.996871871871871,Chiclayo,Chiclayo,3,5.779999999999999,6.4,-6.7716146,-79.8387175,"Chiclayo, Lambayeque, Perú"
Casa en alquiler en Sd. Aeropuerto De Collique,"Sd. Aeropuerto De Collique, Comas, Lima, Lima ","S/.3,200",4 dormitorios,2 baños,140 m²,1980.0,,Casa,Alquiler,6 mar. 2023 - Publicado por joresco real estate,https://www.properati.com.pe/detalle/14032-32-bbd9-7db7ccf0d756-b533fb40-941e-120d,3200.0,140.0,4,2,9.996567996567997,Lima,Comas,3,5.879999999999999,6.4,-11.9573015,-77.049757,"Comas, Lima, Lima Metropolitana, Lima, Perú"
Casa en alquiler en Provincia de Lima,"Provincia de Lima, Provincia de Lima ","USD1,300",3 dormitorios,4 baños,114 m²,1977.0,S/.70,Casa,Alquiler,8 nov. 2022 - Publicado por RE/MAX Gestión Inmobiliaria,https://www.properati.com.pe/detalle/14032-32-6ca9-cb3dbfab8cbf-43532ceb-c000-45ba,4810.0,114.0,3,4,9.993664717348928,Provincia de Lima,,3,6.24,6.4,-12.0459808,-77.0305912,"Lima, Lima Metropolitana, Lima, 15001, Perú"
Apartamento en alquiler en Cajamarca,"Cajamarca, Cajamarca, Cajamarca ","S/.1,500",3 dormitorios,2 baños,110 m²,,,Apartamento,Alquiler,"Hace 2 semanas, 1 día - Publicado por Inmobiliaria SOLÍS",https://www.properati.com.pe/detalle/14032-32-ff9-617d01b89294-7dbbb922-9cd0-4497,1500.0,110.0,3,2,9.9979524979525,Cajamarca,Cajamarca,3,5.779999999999999,6.4,-7.1566682,-78.517306,"Cajamarca, Perú"
Casa en alquiler en Leuro,"Leuro, Provincia de Lima, Provincia de Lima ","USD3,500",3 dormitorios,2 baños,570 m²,,,Casa,Alquiler,9 jul. 2022 - Publicado por ABC Inmuebles,https://www.properati.com.pe/detalle/14032-32-8f96-c575a376318e-c16ca76b-ad45-4358,12950.0,570.0,3,2,9.996588693957117,Provincia de Lima,Leuro,3,5.779999999999999,6.4,-12.1250776,-77.0235332,"Centro Empresarial Leuro, 5895, Avenida Paseo de la República, San Antonio, Miraflores, Lima, Lima Metropolitana, Lima, 15047, Perú"
Apartamento en alquiler en Provincia de Lima,"Provincia de Lima, Provincia de Lima ","S/.1,250",3 dormitorios,2 baños,84 m²,,,Apartamento,Alquiler,21 set. 2022 - Publicado por OSLAVE JESUS FLORES AHON,https://www.properati.com.pe/detalle/14032-32-7044-b49c5278691f-3c61c488-a656-334d,1250.0,84.0,3,2,9.997765622765623,Provincia de Lima,,3,5.779999999999999,6.4,-12.0459808,-77.0305912,"Lima, Lima Metropolitana, Lima, 15001, Perú"
Apartamento en alquiler en Surquillo,"Surquillo, Urb Cercado de Miraflores, Provincia de Lima, Provincia de Lima ",USD700,1 dormitorio,2 baños,60 m²,2013.0,S/.220,Apartamento,Alquiler,14 nov. 2021 - Publicado por Manuel Villarreal Perez,https://www.properati.com.pe/detalle/14032-32-37c9-fc023d78accc-6e0560a1-b98a-4d5b,2590.0,60.0,1,2,9.99351851851852,Provincia de Lima,Urb Cercado de Miraflores,3,5.82,6.4,-12.0459808,-77.0305912,"Lima, Lima Metropolitana, Lima, 15001, Perú"
Apartamento en alquiler en Fundo Conde San Isidro,"Fundo Conde San Isidro, Provincia de Lima, Provincia de Lima ","USD1,250",2 dormitorios,3 baños,180 m²,1992.0,S/.790,Apartamento,Alquiler,30 oct. 2022 - Publicado por PATRICIA CHUQUIN ARROYO,https://www.properati.com.pe/detalle/14032-32-fad7-676124854889-f0f53906-8cdd-4ea9,4625.0,180.0,2,3,9.996141975308642,Provincia de Lima,Fundo Conde San Isidro,3,5.94,6.4,-12.0002116,-76.8330796,"Lima, Lima Metropolitana, Lima, Perú"
Apartamento en alquiler en Jardín,"Jardín, San Eugenio, Provincia de Lima, Provincia de Lima ","USD1,000",3 dormitorios,2 baños,140 m²,,S/.350,Apartamento,Alquiler,31 ago. 2022 - Publicado por Infinito Novantanove E.I.R.L,https://www.properati.com.pe/detalle/14032-32-c088-2d80df17293-b2260f25-95bd-4f35,3700.0,140.0,3,2,9.996031746031743,Provincia de Lima,San Eugenio,3,5.779999999999999,6.4,-12.0892863,-77.0266231,"Urbanización Jardín, San Eugenio, Lince, Lima, Lima Metropolitana, Lima, Perú"
Apartamento en alquiler en Sd. Aeropuerto De Collique,"Sd. Aeropuerto De Collique, Comas, Lima, Lima ",S/.800,2 dormitorios,1 baño,60 m²,2016.0,S/.1,Apartamento,Alquiler,5 mar. 2023 - Publicado por Piero ñopo Echevarría,https://www.properati.com.pe/detalle/14032-32-d8f0-6fc097f888a1-1d78eb10-8a77-4726,800.0,60.0,2,1,9.997997997998,Lima,Comas,3,6.0600000000000005,6.4,-11.9573015,-77.049757,"Comas, Lima, Lima Metropolitana, Lima, Perú"
Casa en alquiler en Pimentel,"Pimentel, Chiclayo, Lambayeque ","S/.3,500",2 dormitorios,3 baños,300 m²,,,Casa,Alquiler,"Hace 2 semanas, 3 días - Publicado por Lula Botey Inmobiliaria",https://www.properati.com.pe/detalle/14032-32-3c40-b6ee15efdf52-b0769207-8818-3e42,3500.0,300.0,2,3,9.998248248248249,Chiclayo,Pimentel,3,5.779999999999999,6.4,-6.8358356,-79.9358318,"Pimentel, Chiclayo, Lambayeque, Perú"
Apartamento en alquiler en Ba. S/N,"Ba. S/N, Rimac, Lima, Lima ","USD1,200",1 dormitorio,2 baños,134 m²,,S/.650,Apartamento,Alquiler,"Hace 4 días, 2 horas - Publicado por KRB Agencia Perú",https://www.properati.com.pe/detalle/14032-32-e243-fa558c79236d-1d09f077-a2ae-49d1,4440.0,134.0,1,2,9.99502487562189,Lima,Rimac,4,3.98,6.4,-12.0266773,-77.0340939,"Rímac, Lima, Lima Metropolitana, Lima, Perú"
Apartamento en alquiler en Castilla,"Castilla, Piura, Piura ","S/.1,400",3 dormitorios,2 baños,72 m²,,,Apartamento,Alquiler,30 ene. 2023 - Publicado por REMAX FAMILY,https://www.properati.com.pe/detalle/14032-32-11df-74a798ef5508-a55de5f7-853f-446f,1400.0,72.0,3,2,9.99708041374708,Piura,Castilla,3,5.779999999999999,6.4,-5.115365,-80.5340462,"Castilla, Piura, Perú"
Apartamento en alquiler en Chiclayo,"Chiclayo, Chiclayo, Lambayeque ","S/.1,800",3 dormitorios,2 baños,120 m²,,,Apartamento,Alquiler,11 ene. 2023 - Publicado por Lula Botey Inmobiliaria,https://www.properati.com.pe/detalle/14032-32-d46e-bc3a6d693414-5794d311-9b91-4d61,1800.0,120.0,3,2,9.997747747747749,Chiclayo,Chiclayo,3,5.779999999999999,6.4,-6.7716146,-79.8387175,"Chiclayo, Lambayeque, Perú"
Casa en alquiler en Sector 3,"Sector 3, Provincia de Lima, Provincia de Lima ","USD8,000",5 dormitorios,3 baños,890 m²,1961.0,,Casa,Alquiler,18 jul. 2022 - Publicado por 2g Agentes Inmobiliarios,https://www.properati.com.pe/detalle/14032-32-dd23-b83b5b9d111f-4329d4ed-bcb9-3155,29600.0,890.0,5,3,9.995006242197254,Provincia de Lima,Sector 3,3,6.0,6.4,-12.2223642,-76.934588,"Sector 3, Villa El Salvador, Lima, Lima Metropolitana, Lima, Perú"
Apartamento en alquiler en Ur. San Fernando,"Ur. San Fernando, La Perla, Callao, Callao ","S/.2,600",3 dormitorios,2 baños,120 m²,,,Apartamento,Alquiler,6 feb. 2023 - Publicado por REMAX UNITED,https://www.properati.com.pe/detalle/14032-32-1319-f7f118cecb16-98a1ba38-a301-4b9f,2600.0,120.0,3,2,9.996746746746746,Callao,La Perla,3,5.779999999999999,6.4,-10.9995361,-77.0085535,"La Perla, Paccho, Huaura, Lima, Perú"
Apartamento en alquiler en Provincia de Lima,"Provincia de Lima, Gobierno Regional de Lima ","USD1,100",3 dormitorios,2 baños,155 m²,,,Apartamento,Alquiler,17 set. 2021 - Publicado por Ventas Primeras Bienes Raices,https://www.properati.com.pe/detalle/14032-32-f6e8-93d18bbfcf6e-57b71e0e-af03-4a71,4070.0,155.0,3,2,9.99605734767025,Provincia de Lima,,3,5.779999999999999,6.4,-12.0828473,-77.0356472,"Gobierno Regional de Lima, 1817, Avenida Álvarez de Arenales, Lince, Lima, Lima Metropolitana, Lima, 15494, Perú"
Apartamento en alquiler en Urb Cercado de Miraflores,"Urb Cercado de Miraflores, Provincia de Lima, Provincia de Lima ","USD1,400",2 dormitorios,2 baños,111 m²,2005.0,,Apartamento,Alquiler,26 feb. 2022 - Publicado por Inmoba Peru SAC,https://www.properati.com.pe/detalle/14032-32-2533-df88700c81f6-b4d70ba3-ba7a-40c7,5180.0,111.0,2,2,9.992992992992994,Provincia de Lima,Urb Cercado de Miraflores,3,6.08,6.4,-12.0002116,-76.8330796,"Lima, Lima Metropolitana, Lima, Perú"
Apartamento en alquiler en Urb Santa Cruz,"Urb Santa Cruz, Provincia de Lima, Provincia de Lima ",USD900,1 dormitorio,2 baños,105 m²,2014.0,S/.560,Apartamento,Alquiler,24 ago. 2022 - Publicado por Maria Elena Bedoya,https://www.properati.com.pe/detalle/14032-32-624f-31f2361f6878-a2a57c33-b7d9-49d4,3330.0,105.0,1,2,9.995238095238095,Provincia de Lima,Urb Santa Cruz,3,5.9,6.4,-11.9010621,-77.0404739,"BCP Urbanización San Felipe Comas, Avenida Universitaria, San Felipe 2, Comas, Lima, Lima Metropolitana, Lima, 15313, Perú"
Apartamento en alquiler en Ur. Cabo Gc Juan Ingunza Valdivia (Vipol),"Ur. Cabo Gc Juan Ingunza Valdivia (Vipol), Callao, Callao, Callao ","S/.1,200",2 dormitorios,1 baño,73 m²,2015.0,S/.20,Apartamento,Alquiler,"Hace 1 día, 21 horas - Publicado por RE/MAX Expo",https://www.properati.com.pe/detalle/14032-32-8b13-c8d1568ed13a-b4743bea-9fd1-40bb,1200.0,73.0,2,1,9.997531778353697,Callao,Callao,3,5.98,6.4,-12.0522626,-77.1391133,"Callao, Lima Metropolitana, Callao, Perú"
Apartamento en alquiler en Ur. Confraternidad,"Ur. Confraternidad, Barranco, Lima, Lima ",USD980,3 dormitorios,2 baños,,,,Apartamento,Alquiler,"Hace 4 días, 16 horas - Publicado por  Carmen Rosa  Zuniga  Perez  ",https://www.properati.com.pe/detalle/14032-32-1027-1d4aa32ec8fc-a315f490-9a26-312e,3626.0,,3,2,5.0,Lima,Barranco,8,5.779999999999999,6.4,-12.1496977,-77.0212908,"Barranco, Lima, Lima Metropolitana, Lima, Perú"
Apartamento en alquiler en Provincia de Lima,"Provincia de Lima, Gobierno Regional de Lima ","S/.2,100",3 dormitorios,2 baños,70 m²,,S/.215,Apartamento,Alquiler,20 may. 2021 - Publicado por Fiorella Saldarriaga,https://www.properati.com.pe/detalle/14032-32-9361-2ed9e35ff85a-9d759203-9949-4e3b,2100.0,70.0,3,2,9.995495495495495,Provincia de Lima,,3,5.779999999999999,6.4,-12.0828473,-77.0356472,"Gobierno Regional de Lima, 1817, Avenida Álvarez de Arenales, Lince, Lima, Lima Metropolitana, Lima, 15494, Perú"
Apartamento en alquiler en Nuevo Chimbote,"Nuevo Chimbote, Santa, Ancash ",S/.450,1 dormitorio,1 baño,35 m²,2020.0,S/.1,Apartamento,Alquiler,26 nov. 2022 - Publicado por Roalse Inmobiliaria ,https://www.properati.com.pe/detalle/14032-32-ad1c-4ef77fa7ebd3-a40c32b7-86ab-474d,450.0,35.0,1,1,9.998069498069498,Santa,Nuevo Chimbote,3,5.48,6.3,-9.1183822,-78.4587932,"Nuevo Chimbote, Santa, Ancash, Perú"
Apartamento en alquiler en Fundo Conde San Isidro,"Fundo Conde San Isidro, Provincia de Lima, Provincia de Lima ",USD700,1 dormitorio,1 baño,48 m²,2022.0,,Apartamento,Alquiler,24 set. 2022 - Publicado por RE/MAX PERÚ,https://www.properati.com.pe/detalle/14032-32-e7f6-2c3e2e5a1b39-d59c0f41-bded-4a9e,2590.0,48.0,1,1,9.991898148148149,Provincia de Lima,Fundo Conde San Isidro,3,5.64,6.3,-12.0002116,-76.8330796,"Lima, Lima Metropolitana, Lima, Perú"
Apartamento en alquiler en Ah. San Hilarion,"Ah. San Hilarion, San Juan de Lurigancho, Lima, Lima ",S/.650,1 dormitorio,1 baño,45 m²,2021.0,,Apartamento,Alquiler,9 ene. 2023 - Publicado por RE/MAX PERÚ,https://www.properati.com.pe/detalle/14032-32-9378-71d7bec9b9d1-22efe262-9846-4759,650.0,45.0,1,1,9.997831164497832,Lima,San Juan de Lurigancho,3,5.5600000000000005,6.3,-11.993804,-77.0168907,"San Hilarión, San Juan de Lurigancho, Lima, Lima Metropolitana, Lima, 15419, Perú"
Apartamento en alquiler en Ah. San Hilarion,"Ah. San Hilarion, San Juan de Lurigancho, Lima, Lima ",S/.650,1 dormitorio,1 baño,45 m²,2021.0,,Apartamento,Alquiler,9 ene. 2023 - Publicado por RE/MAX PERÚ,https://www.properati.com.pe/detalle/14032-32-ac96-d8851f49fc7-91d20852-bce3-481f,650.0,45.0,1,1,9.997831164497832,Lima,San Juan de Lurigancho,3,5.5600000000000005,6.3,-11.993804,-77.0168907,"San Hilarión, San Juan de Lurigancho, Lima, Lima Metropolitana, Lima, 15419, Perú"
Apartamento en alquiler en San Isidro,"San Isidro, Arequipa, Arequipa, Arequipa ","S/.1,700",3 dormitorios,2 baños,82 m²,1989.0,S/.115,Apartamento,Alquiler,18 ene. 2023 - Publicado por RE/MAX Consultores Inmobiliarios Arequipa,https://www.properati.com.pe/detalle/14032-32-d84d-c5962133aaa2-703720f9-aa87-4cad,1700.0,82.0,3,2,9.996887131033471,Arequipa,Arequipa,3,5.7,6.3,-16.4097615,-71.5413247,"Arequipa, Avenida Tacna y Arica, Urbanización El Bueno, Arequipa, 04001, Perú"
Apartamento en alquiler en Bellavista,"Bellavista, Callao, Callao ","S/.1,400",2 dormitorios,1 baño,70 m²,2010.0,S/.50,Apartamento,Alquiler,10 mar. 2023 - Publicado por Matayoshi Inmobiliaria,https://www.properati.com.pe/detalle/14032-32-39e8-d609091d9905-78d70d4c-941d-411a,1400.0,70.0,2,1,9.996996996996996,Callao,Bellavista,3,5.58,6.3,-12.0597362,-77.1111612,"Bellavista, Callao, Perú"
Apartamento en alquiler en Ur. Las Brisas,"Ur. Las Brisas, Chiclayo, Chiclayo, Lambayeque ","S/.1,000",3 dormitorios,1 baño,90 m²,2000.0,,Apartamento,Alquiler,15 nov. 2022 - Publicado por RE/MAX PERÚ,https://www.properati.com.pe/detalle/14032-32-5b2a-fb5156f3cdc0-15755d8f-86a7-43b7,1000.0,90.0,3,1,9.998331664998332,Chiclayo,Chiclayo,3,5.68,6.3,-11.9663421,-77.0109992,"Chiclayo, Urbanización Canto Grande, San Juan de Lurigancho, Lima, Lima Metropolitana, Lima, 15423, Perú"
Apartamento en alquiler en Urb las Gardenias Etapa 1,"Urb las Gardenias Etapa 1, Provincia de Lima, Provincia de Lima ","S/.1,200",1 dormitorio,1 baño,30 m²,2020.0,S/.1,Apartamento,Alquiler,23 abr. 2022 - Publicado por NNK PERU SAC,https://www.properati.com.pe/detalle/14032-32-3ec1-6943670a3c82-b4c53102-b86e-4e0c,1200.0,30.0,1,1,9.993993993993994,Provincia de Lima,Urb las Gardenias Etapa 1,3,5.48,6.3,-11.9806539,-77.0878602,"1, Las Gardenias, Urbanización Virgen del Rosario ll Etapa, San Martín de Porres, Lima, Lima Metropolitana, Lima, 15109, Perú"
Apartamento en alquiler en El Callao,"El Callao, Callao, Callao ",S/.600,1 dormitorio,1 baño,40 m²,2022.0,S/.1,Apartamento,Alquiler,23 feb. 2023 - Publicado por REMAX FAMILY,https://www.properati.com.pe/detalle/14032-32-a64a-df499b8d54e3-c3a83094-8f4d-455d,600.0,40.0,1,1,9.997747747747749,Callao,El Callao,3,5.64,6.3,-11.9975624,-77.1137854,"Avenida Canta Callao, Residencial Paz Centenario, San Martín de Porres, Callao, Lima Metropolitana, Callao, 15112, Perú"
Apartamento en alquiler en Propietarios De Parque Industrial El Asesor,"Propietarios De Parque Industrial El Asesor, Provincia de Lima, Provincia de Lima ",S/.800,1 dormitorio,1 baño,45 m²,2018.0,,Apartamento,Alquiler,5 mar. 2022 - Publicado por NG SOLUCIONES INTEGRALES EFICIENTES NEW GENERATION,https://www.properati.com.pe/detalle/14032-32-e845-45da689f959d-d985de95-a4a4-310f,800.0,45.0,1,1,9.99733066399733,Provincia de Lima,Propietarios De Parque Industrial El Asesor,3,5.32,6.3,-12.0002116,-76.8330796,"Lima, Lima Metropolitana, Lima, Perú"
